,!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness
0,0.801,0.1252975,1.0,0.0,0.0,0.0,7.078824881200054,0.004881527072878717,0.014458580418895847,2.9170906547403708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.801,0.2404358333333333,1.0,0.0,0.0,0.0,1.201231664547005,0.00897666708120699,0.017603479694480843,1.6661168101462922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.801,0.34791083333333334,2.0,0.0,0.0,0.0,-0.220718681895681,0.012082662261173289,0.018390360002115306,1.1193258819555998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.801,0.45012,2.0,0.0,0.0,0.0,-0.9622525552615699,0.015347907494540505,0.018784962036595625,0.6819632724616675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.801,0.5489433333333333,1.0,0.0,0.0,0.0,-1.2517980747144783,0.01866257296699407,0.018562218428060634,0.2951265166693819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.801,0.6447383333333333,2.0,0.0,0.0,0.0,-1.259184314651769,0.023136862380175413,0.018849471444982047,-0.03594890954662415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.92,0.6281216666666667,2.0,0.0,0.0,0.0,5.496037001021461,0.029432010868636217,0.024927090104501743,1.6608290064114104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.221,0.6943591666666666,2.0,0.0,0.0,0.0,4.702329082783589,0.035515821921887805,0.02735116396464153,1.8398243671529948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.221,0.7625908333333332,2.0,0.0,0.0,0.0,6.230583369815395,0.04047953267624746,0.024621371272691723,2.2325880815016252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.221,0.8176116666666666,1.0,0.0,0.0,0.0,8.438562287340497,0.04151839509006863,0.022868190514723635,2.8710158530283123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.221,0.8632974999999999,1.0,0.0,0.0,0.0,8.324305101905718,0.04077636364177605,0.023120351682910135,2.8687790300252436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.221,0.9010400000000001,1.0,0.0,0.0,0.0,8.072105302422804,0.04228683059870203,0.022860424344919066,2.784582571334556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.221,0.9172641666666668,1.0,0.0,0.0,0.0,8.454411806909787,0.04239228880227547,0.022632067917412655,2.857892341965917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.163,0.8547308333333332,1.0,0.0,0.0,0.0,8.342505315958697,0.042413851068515376,0.022693100324317806,2.829162286941738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.996,0.7909841666666666,1.0,0.0,0.0,0.0,8.8330604477463,0.04146962244210388,0.022681824473429646,2.9443746965755766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.903,0.7379525,1.0,0.0,0.0,0.0,9.065186235559517,0.04222076605147976,0.02235242804230057,3.0087321078316793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.851,0.6929424999999999,1.0,0.0,0.0,0.0,-0.6312474233517191,0.034870580112296705,0.008074895087942386,0.08406860812057504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.895,0.6640641666666667,0.0,0.0,0.0,0.0,18.39827700085217,0.03765190423469062,0.016503180803015098,3.7878513918233327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.225,0.7184558333333333,1.0,0.0,0.0,0.0,10.079853628260512,0.040508649128902625,0.02431835449231757,3.1581797090853145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.225,0.7772016666666666,1.0,0.0,0.0,0.0,10.022732406420173,0.0393461109773643,0.024632849715623503,3.1422223566971383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.225,0.8228583333333334,1.0,0.0,0.0,0.0,9.65041619500667,0.03896352366055728,0.024918819562516965,3.0891645023281207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.225,0.866225,1.0,0.0,0.0,0.0,10.199867525016932,0.038101092059830435,0.024859611952811382,3.199271303805001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.225,0.9040966666666667,1.0,0.0,0.0,0.0,10.327353369201438,0.03775651872040613,0.02488076282424695,3.2266544604808844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
